Epoch	Total Loss	PDE Loss1	PDE Loss2	PDE Loss3	Interface Loss12	Interface Loss23	Boundary Loss	Analytical Loss
0	8704.255859	0.006738	0.020224	0.076363	0.025057	0.350746	2998.187988	1901.737427
100	8589.857422	0.018179	0.017092	0.116381	0.023404	0.152081	2955.461426	1877.964600
200	8373.746094	0.039666	0.071445	0.159254	0.188998	0.017845	2880.019043	1831.014404
300	7901.989746	0.063805	0.075245	0.091872	0.425007	0.020972	2718.570312	1727.432373
400	7190.026367	0.043370	0.083918	0.090487	0.674133	0.041440	2472.441650	1571.978516
500	6528.364258	0.016036	0.062337	0.126843	0.596112	0.037424	2243.728516	1427.721191
600	6060.485352	0.006346	0.033497	0.098628	0.329471	0.023713	2084.274658	1325.121826
700	5734.571777	0.003032	0.016964	0.071994	0.150204	0.016697	1974.940186	1253.068604
800	5485.041992	0.001662	0.009276	0.054016	0.059073	0.033584	1892.624756	1197.388916
900	5280.511719	0.001012	0.005443	0.039545	0.017896	0.101422	1825.995728	1151.410400
1000	5108.126465	0.000668	0.003339	0.027293	0.003203	0.220285	1770.197144	1112.483643
1100	4960.465820	0.000472	0.002128	0.018108	0.000231	0.365633	1722.498535	1079.071655
1200	4831.422363	0.000359	0.001407	0.011853	0.001980	0.512753	1680.841064	1049.846069
1300	4716.456055	0.000294	0.000962	0.007739	0.006174	0.645222	1643.762207	1023.794006
1400	4612.572266	0.000259	0.000675	0.005065	0.012893	0.751651	1610.312744	1000.241577
1500	4517.752441	0.000242	0.000484	0.003349	0.023477	0.826120	1579.858643	978.730225
1600	4430.477539	0.000236	0.000353	0.002253	0.039852	0.869399	1551.924683	958.910461
1700	4349.473633	0.000237	0.000261	0.001553	0.063812	0.887335	1526.104004	940.488464
1800	4273.583008	0.000243	0.000195	0.001098	0.096174	0.887628	1502.011353	923.200745
1900	4201.703125	0.000254	0.000148	0.000797	0.135993	0.877313	1479.265015	906.803345
2000	4132.805664	0.000269	0.000113	0.000592	0.180276	0.861650	1457.496338	891.074890
2100	4066.020996	0.000288	0.000088	0.000448	0.224661	0.844083	1436.388672	875.831299
2200	4000.734375	0.000307	0.000069	0.000345	0.264992	0.826541	1415.720459	860.943359
2300	3936.626221	0.000326	0.000054	0.000270	0.298799	0.809859	1395.383911	846.341492
2400	3873.597656	0.000343	0.000043	0.000213	0.325642	0.794203	1375.357910	831.999878
2500	3811.656250	0.000356	0.000035	0.000169	0.346388	0.779408	1355.661743	817.914062
2600	3750.823730	0.000367	0.000028	0.000136	0.362295	0.765216	1336.318726	804.083191
2700	3691.101074	0.000374	0.000023	0.000110	0.374479	0.751374	1317.340820	790.502686
2800	3632.462891	0.000380	0.000019	0.000090	0.383761	0.737652	1298.727539	777.164062
2900	3574.867676	0.000383	0.000016	0.000074	0.390697	0.723842	1280.469604	764.056213
3000	3518.264160	0.000384	0.000013	0.000060	0.395653	0.709735	1262.552979	751.166687
3100	3462.595703	0.000383	0.000011	0.000050	0.398864	0.695105	1244.959717	738.482483
3200	3407.797852	0.000379	0.000009	0.000041	0.400443	0.679679	1227.668945	725.989502
3300	3353.792969	0.000372	0.000008	0.000034	0.400347	0.663110	1210.652100	713.671143
3400	3300.460938	0.000360	0.000006	0.000028	0.398219	0.644947	1193.865112	701.502991
3500	3247.564697	0.000343	0.000005	0.000022	0.392863	0.624684	1177.217407	689.437256
3600	3194.449707	0.000315	0.000004	0.000018	0.380240	0.602622	1160.462769	677.340271
3700	3138.676758	0.000257	0.000003	0.000015	0.345626	0.587200	1142.722412	664.696167
3800	3073.617188	0.000145	0.000003	0.000024	0.260340	0.625251	1121.798218	650.015869
3900	3003.068115	0.000065	0.000003	0.000022	0.160977	0.729759	1099.230347	634.018738
4000	2936.490723	0.000036	0.000003	0.000013	0.088333	0.831100	1078.079468	618.857422
4100	2871.878906	0.000024	0.000002	0.000007	0.040926	0.920408	1057.696411	604.086548
4200	2804.873047	0.000017	0.000001	0.000005	0.015777	0.998734	1036.859741	588.661377
4300	2734.078369	0.000013	0.000001	0.000006	0.005044	1.077313	1015.268433	572.215088
4400	2665.436279	0.000010	0.000001	0.000004	0.000546	1.158496	994.546875	556.190430
4500	2601.633789	0.000009	0.000001	0.000003	0.000606	1.240386	975.389526	541.254150
4600	2541.898438	0.000009	0.000001	0.000003	0.005099	1.323585	957.556458	527.228149
4700	2485.299805	0.000008	0.000001	0.000002	0.013570	1.406289	940.765503	513.898193
4800	2431.229004	0.000008	0.000001	0.000002	0.025363	1.486054	924.827148	501.126282
4900	2379.311035	0.000008	0.000001	0.000002	0.039768	1.561200	909.623718	488.828552
5000	2329.297852	0.000008	0.000000	0.000002	0.056176	1.631622	895.076904	476.948425
5100	2280.977295	0.000008	0.000000	0.000002	0.074291	1.698774	881.120117	465.437012
5200	2234.133545	0.000007	0.000000	0.000001	0.094286	1.765142	867.683472	454.243713
5300	2188.489014	0.000007	0.000000	0.000001	0.116822	1.833790	854.678589	443.303040
5400	2143.411621	0.000006	0.000000	0.000001	0.142402	1.905927	841.922668	432.464111
5500	2095.314941	0.000006	0.000006	0.000001	0.159400	1.942013	828.498413	420.871277
5600	2037.374146	0.000005	0.000014	0.000000	0.144054	1.865919	812.716553	406.879211
5700	1978.903076	0.000004	0.000003	0.000001	0.129255	1.788814	796.965332	392.700531
5800	1928.110718	0.000004	0.000001	0.000000	0.132011	1.777068	783.356506	380.312012
5900	1881.537598	0.000004	0.000001	0.000000	0.138367	1.780273	771.011169	368.896423
6000	1837.781982	0.000004	0.000001	0.000000	0.145689	1.787740	759.548462	358.122192
6100	1796.214355	0.000003	0.000000	0.000000	0.153206	1.796278	748.793091	347.840790
6200	1756.481079	0.000003	0.000000	0.000000	0.160640	1.804717	738.643982	337.968781
6300	1718.353271	0.000003	0.000000	0.000000	0.167882	1.812607	729.034912	328.452484
6400	1681.672119	0.000003	0.000000	0.000000	0.174899	1.819773	719.918823	319.254639
6500	1646.319214	0.000003	0.000000	0.000000	0.181688	1.826151	711.260376	310.347717
6600	1612.204834	0.000002	0.000000	0.000000	0.188258	1.831726	703.032227	301.710907
6700	1579.257568	0.000002	0.000000	0.000000	0.194630	1.836495	695.212158	293.327698
6800	1547.419556	0.000002	0.000000	0.000000	0.200829	1.840457	687.781982	285.184998
6900	1516.641968	0.000002	0.000000	0.000000	0.206882	1.843608	680.726013	277.271637
7000	1486.884644	0.000002	0.000000	0.000000	0.212817	1.845919	674.031189	269.578674
7100	1458.113037	0.000002	0.000000	0.000000	0.218667	1.847344	667.685608	262.098480
7200	1430.296509	0.000002	0.000000	0.000000	0.224473	1.847811	661.678833	254.824371
7300	1403.407715	0.000002	0.000000	0.000000	0.230277	1.847190	656.001038	247.750580
7400	1377.421631	0.000001	0.000000	0.000000	0.236132	1.845282	650.643005	240.871918
7500	1352.313721	0.000001	0.000000	0.000000	0.242105	1.841745	645.595642	234.183441
7600	1328.057861	0.000001	0.000000	0.000000	0.248275	1.835995	640.849060	227.680115
7700	1304.618652	0.000001	0.000000	0.000000	0.254746	1.826953	636.390991	221.354752
7800	1281.918213	0.000001	0.000000	0.000000	0.261623	1.812706	632.200745	215.189606
7900	1259.636597	0.000001	0.000000	0.000000	0.268905	1.792380	628.220520	209.097839
8000	1235.972412	0.000001	0.000000	0.000003	0.276333	1.802997	624.236633	202.525665
8100	1210.334473	0.000001	0.000000	0.000002	0.286372	1.889622	620.296692	195.228577
8200	1187.598511	0.000001	0.000000	0.000001	0.300815	1.934835	616.900879	188.742096
8300	1167.025391	0.000000	0.000000	0.000000	0.313963	1.966456	614.018066	182.815460
8400	1147.937256	0.000000	0.000000	0.000000	0.326264	1.995159	611.540222	177.251373
8500	1130.051270	0.000000	0.000000	0.000000	0.338231	2.023734	609.411194	171.972046
8600	1115.580078	0.000000	0.000001	0.000000	0.346509	2.064420	607.848572	167.636520
8700	1107.491455	0.000685	0.000009	0.000001	0.284139	2.118217	606.706299	165.326599
8800	1094.506592	0.015642	0.000001	0.000009	0.197491	2.191469	603.605652	162.035812
8900	1077.176636	0.171209	0.000001	0.000043	0.086035	2.313942	597.494141	158.237106
9000	1051.383911	1.253933	0.000002	0.000076	0.021399	2.437080	585.771790	153.147064
9100	1025.278076	3.329852	0.000026	0.000082	0.017470	2.574838	575.150024	147.204514
9200	1001.615967	4.390539	0.000140	0.000076	0.022795	2.672451	568.627319	141.069122
9300	979.127075	5.037289	0.000214	0.000069	0.035787	2.688726	563.698547	134.980637
9400	958.499146	5.392937	0.000198	0.000059	0.049121	2.687862	559.790100	129.280609
9500	939.856079	5.485600	0.000173	0.000054	0.059470	2.685884	556.744385	124.045059
9600	922.920288	5.483804	0.000159	0.000053	0.072079	2.682549	554.277405	119.216553
9700	907.470581	5.461634	0.000161	0.000055	0.088627	2.680347	552.260437	114.736786
9800	893.324219	5.388178	0.000175	0.000057	0.107278	2.680040	550.666199	110.564972
9900	880.304993	5.253356	0.000196	0.000060	0.126024	2.680487	549.427917	106.670151
10000	868.280762	5.081447	0.000220	0.000064	0.143808	2.680779	548.464783	103.028366
10100	857.157715	4.908375	0.000245	0.000070	0.160672	2.680435	547.714844	99.617340
10200	846.855713	4.756701	0.000269	0.000074	0.177074	2.679034	547.143005	96.414467
10300	837.296265	4.632634	0.000289	0.000077	0.193864	2.675931	546.728210	93.398491
10400	828.399231	4.530987	0.000306	0.000078	0.211914	2.670224	546.452698	90.550293
10500	820.093018	4.440663	0.000325	0.000080	0.231299	2.661129	546.302246	87.854950
10600	812.323608	4.351599	0.000348	0.000085	0.251425	2.648378	546.268188	85.301277
10700	805.062317	4.257049	0.000371	0.000098	0.271412	2.633094	546.347412	82.882797
10800	798.297302	4.158156	0.000396	0.000120	0.290393	2.618368	546.527954	80.597740
10900	791.998047	4.064777	0.000438	0.000152	0.308041	2.606793	546.776550	78.442139
11000	786.114441	3.986741	0.000515	0.000197	0.325283	2.598296	547.064880	76.404984
11100	780.603271	3.929697	0.000644	0.000257	0.343541	2.591813	547.384399	74.472527
11200	775.422852	3.895648	0.000851	0.000338	0.363737	2.586625	547.723755	72.633835
11300	770.512512	3.884588	0.001194	0.000450	0.386447	2.581895	548.041565	70.882690
11400	765.741943	3.907674	0.001835	0.000665	0.412659	2.573792	548.178284	69.226868
11500	760.314270	4.112454	0.003741	0.002296	0.451397	2.523151	546.843201	67.801163
11600	743.804993	5.017959	0.045988	0.197130	0.571409	2.050233	528.740601	68.186661
11700	700.014343	5.481539	0.394283	1.668590	0.581974	1.735566	480.025940	69.269638
11800	612.333679	5.211256	2.788148	2.842556	0.302552	1.686435	389.727356	69.262131
11900	560.761414	5.421959	5.403570	2.489932	0.382775	1.667222	349.607727	64.579430
12000	519.465088	5.544217	5.067266	2.325284	0.532275	1.673856	318.814392	61.100548
12100	489.868042	5.432477	3.847680	2.094078	0.700368	1.751194	299.089020	58.167221
12200	467.253204	5.203874	2.830523	1.901777	0.827434	1.829731	285.350922	55.550606
12300	437.821289	5.556348	2.485932	1.855217	1.051316	1.900307	266.750427	51.756714
12400	409.824829	5.246093	2.064444	1.778964	0.730711	1.968862	250.769073	48.189041
12500	384.271454	4.832578	2.276902	1.894756	0.703852	1.977340	233.243546	45.553764
12600	356.346619	4.428246	2.038210	1.999944	0.913451	1.989196	215.599823	42.158363
12700	334.116577	4.141777	1.823291	2.055473	1.000527	1.960260	201.927734	39.415573
12800	307.823059	4.212087	1.282969	2.212337	1.161093	1.872166	185.680542	36.122864
12900	274.569336	4.471356	0.875296	1.913942	1.359818	1.819082	165.129959	31.940334
13000	249.610016	4.292502	0.746932	1.550749	1.520369	1.834576	150.511826	28.599377
13100	221.406326	4.334998	0.687477	1.282888	1.647459	1.862773	132.497253	25.194424
