Training Log
Epoch	Total Loss	PDE Loss1	PDE Loss2	PDE Loss3	Interface Loss12	Interface Loss23	Boundary Loss	Analytical Loss
0	3008.098633	0.007634	0.062362	0.809452	0.018391	0.262112	2997.318115	3.113411
100	2963.710938	0.006930	0.011948	0.321308	0.007643	0.014171	2953.833496	3.164591
200	2872.767090	0.029042	0.054933	0.444339	0.070996	0.010737	2859.400635	4.224906
300	2699.160400	0.075390	0.145687	0.859978	0.285985	0.038644	2668.747559	9.560849
400	2497.393311	0.083274	0.310049	1.108115	0.579436	0.082628	2424.569336	23.332811
500	2353.324951	0.048420	0.337173	0.934379	0.619525	0.090504	2227.489502	41.031815
600	2267.462891	0.026013	0.258819	0.710522	0.467460	0.060922	2095.005615	56.801773
700	2214.308594	0.015586	0.180845	0.549833	0.309890	0.039946	2003.455078	69.802490
800	2178.580811	0.010286	0.124732	0.440734	0.194080	0.032484	1935.398438	80.717743
900	2152.951416	0.007248	0.087179	0.361822	0.118218	0.034003	1881.737305	90.151108
1000	2133.705322	0.005342	0.062396	0.299927	0.071975	0.042953	1837.606323	98.500473
1100	2118.775146	0.004067	0.045884	0.249103	0.044772	0.058878	1800.197754	106.023666
1200	2106.915527	0.003172	0.034658	0.206920	0.028851	0.081086	1767.768799	112.894058
1300	2097.324707	0.002520	0.026838	0.172093	0.019396	0.108559	1739.161133	119.235397
1400	2089.461182	0.002031	0.021254	0.143541	0.013643	0.140270	1713.563477	125.140999
1500	2082.945801	0.001657	0.017172	0.120199	0.010047	0.175348	1690.387329	130.682877
1600	2077.507324	0.001365	0.014122	0.101069	0.007743	0.213045	1669.200928	135.916107
1700	2072.947266	0.001137	0.011802	0.085281	0.006241	0.252635	1649.686768	140.881500
1800	2069.116699	0.000957	0.010006	0.072112	0.005255	0.293367	1631.613281	145.607666
1900	2065.901123	0.000816	0.008595	0.060968	0.004620	0.334500	1614.812988	150.113129
2000	2063.210938	0.000706	0.007472	0.051336	0.004245	0.375469	1599.166138	154.408646
2100	2060.974854	0.000622	0.006564	0.042622	0.004112	0.416515	1584.579346	158.501526
2200	2059.158691	0.000569	0.005845	0.032518	0.004702	0.466828	1570.907471	162.423126
2300	2058.327393	0.000595	0.005970	0.020604	0.015529	0.463520	1565.753662	163.862762
2400	2057.238281	0.000643	0.005746	0.028743	0.018307	0.415813	1559.481689	165.617706
2500	2056.027344	0.000748	0.005526	0.037806	0.019127	0.359291	1552.005249	167.740356
2600	2054.846680	0.000920	0.005189	0.048221	0.018498	0.302057	1544.138916	170.004074
2700	2053.798584	0.001056	0.005289	0.058803	0.017400	0.250662	1536.525879	172.223785
2800	2052.913330	0.001102	0.006267	0.064553	0.016300	0.206298	1529.562988	174.277771
2900	2052.147949	0.001145	0.007006	0.069643	0.015524	0.168404	1523.033325	176.222931
3000	2051.480713	0.001159	0.007160	0.079989	0.015216	0.136926	1516.767822	178.106750
3100	2050.914795	0.001173	0.007078	0.094847	0.015100	0.111189	1510.888550	179.890167
3200	2050.443115	0.001203	0.006941	0.114038	0.015177	0.090505	1505.452393	181.552429
3300	2050.055176	0.001246	0.006815	0.137084	0.015506	0.074061	1500.464844	183.088699
3400	2049.738525	0.001308	0.006739	0.161714	0.016061	0.060976	1495.939209	184.491837
3500	2049.480957	0.001399	0.006741	0.184922	0.016795	0.050353	1491.893799	185.753204
3600	2049.268555	0.001509	0.006797	0.205758	0.017733	0.041426	1488.291260	186.881592
3700	2049.092773	0.001581	0.006814	0.224603	0.018934	0.033962	1485.041504	187.904144
3800	2048.948975	0.001533	0.006689	0.240373	0.020600	0.028104	1482.071533	188.843811
3900	2048.836914	0.000918	0.005745	0.253224	0.022738	0.025009	1479.679688	189.600677
4000	2048.746094	0.000937	0.004489	0.262295	0.019903	0.022453	1478.900635	189.831055
4100	2048.648682	0.006657	0.003735	0.273089	0.017931	0.020458	1478.332031	189.985474
4200	2048.534180	0.073484	0.003538	0.282441	0.016993	0.019130	1477.696045	190.135544
4300	2048.444824	0.095888	0.003540	0.289643	0.015610	0.016666	1476.568970	190.474091
4400	2048.359863	0.109526	0.003681	0.296502	0.013174	0.014589	1475.579468	190.771698
4500	2048.277344	0.120980	0.003864	0.303017	0.010862	0.012704	1474.572510	191.076660
